symbol,name,lastsale,netchange,pctchange,marketCap,url
EYE,"National Vision Holdings, Inc. Common Stock",$29.28,1.13,4.014%,"2,322,183,858",/market-activity/stocks/eye
HRMY,"Harmony Biosciences Holdings, Inc. Common Stock",$39.83,1.58,4.131%,"2,294,062,939",/market-activity/stocks/hrmy
WRBY,Warby Parker Inc. Class A Common Stock,$18.77,0.35,1.90%,"2,293,033,540",/market-activity/stocks/wrby
IBRX,"ImmunityBio, Inc. Common Stock",$2.29,-0.01,-0.435%,"2,255,570,260",/market-activity/stocks/ibrx
ADPT,Adaptive Biotechnologies Corporation Common Stock,$14.75,-2.71,-15.521%,"2,251,811,523",/market-activity/stocks/adpt
XRAY,DENTSPLY SIRONA Inc. Common Stock,$11.25,-0.02,-0.177%,"2,244,959,651",/market-activity/stocks/xray
SGRY,"Surgery Partners, Inc. Common Stock",$17.19,-0.19,-1.093%,"2,223,385,181",/market-activity/stocks/sgry
ZBIO,"Zenas BioPharma, Inc. Common Stock",$39.38,1.27,3.332%,"2,113,885,557",/market-activity/stocks/zbio
AORT,"Artivion, Inc. Common Stock",$44.59,-0.82,-1.806%,"2,112,448,530",/market-activity/stocks/aort
GPCR,Structure Therapeutics Inc. American Depositary Shares,$34.56,1.71,5.205%,"2,097,019,238",/market-activity/stocks/gpcr
ADUS,Addus HomeCare Corporation Common Stock,$113.19,-0.97,-0.85%,"2,092,121,444",/market-activity/stocks/adus
NHC,National HealthCare Corporation Common Stock,$134.73,-1.86,-1.362%,"2,090,370,037",/market-activity/stocks/nhc
PGNY,"Progyny, Inc. Common Stock",$24.02,-0.13,-0.538%,"2,070,803,929",/market-activity/stocks/pgny
MAZE,"Maze Therapeutics, Inc. Common Stock",$41.71,-0.89,-2.089%,"2,007,062,009",/market-activity/stocks/maze
PRCT,PROCEPT BioRobotics Corporation Common Stock,$35.86,0.43,1.214%,"2,003,806,202",/market-activity/stocks/prct
ZYME,Zymeworks Inc. Common Stock,$26.69,0.17,0.641%,"1,997,387,092",/market-activity/stocks/zyme
ATRC,"AtriCure, Inc. Common Stock",$39.86,0.61,1.554%,"1,981,719,142",/market-activity/stocks/atrc
TWST,Twist Bioscience Corporation Common Stock,$32.30,-0.51,-1.554%,"1,975,081,240",/market-activity/stocks/twst
CLDX,"Celldex Therapeutics, Inc.",$29.45,-0.15,-0.507%,"1,956,936,921",/market-activity/stocks/cldx
AVAH,Aveanna Healthcare Holdings Inc. Common Stock,$9.31,0.175,1.916%,"1,944,964,976",/market-activity/stocks/avah
PRKS,United Parks & Resorts Inc. Common Stock,$35.53,-0.54,-1.497%,"1,938,183,209",/market-activity/stocks/prks
LMAT,"LeMaitre Vascular, Inc. Common Stock",$84.53,-1.17,-1.365%,"1,917,647,073",/market-activity/stocks/lmat
MD,"Pediatrix Medical Group, Inc. Common Stock",$22.12,-0.17,-0.763%,"1,899,607,778",/market-activity/stocks/md
DNTH,"Dianthus Therapeutics, Inc. Common Stock",$44.26,-0.45,-1.006%,"1,897,692,424",/market-activity/stocks/dnth
QDEL,QuidelOrtho Corporation Common Stock,$27.76,-0.06,-0.216%,"1,885,779,550",/market-activity/stocks/qdel
OLMA,"Olema Pharmaceuticals, Inc. Common Stock",$27.21,-0.43,-1.556%,"1,868,236,505",/market-activity/stocks/olma
OGN,Organon & Co. Common Stock ,$7.14,UNCH,--,"1,856,277,992",/market-activity/stocks/ogn
PRGO,Perrigo Company plc Ordinary Shares,$13.44,-0.05,-0.371%,"1,849,666,681",/market-activity/stocks/prgo
SEM,Select Medical Holdings Corporation Common Stock,$14.91,-0.12,-0.798%,"1,846,120,282",/market-activity/stocks/sem
ANIP,"ANI Pharmaceuticals, Inc.",$81.77,-0.97,-1.172%,"1,836,404,397",/market-activity/stocks/anip
VCEL,Vericel Corporation Common Stock,$36.23,-0.56,-1.522%,"1,832,296,962",/market-activity/stocks/vcel
IMNM,"Immunome, Inc. Common Stock",$19.76,-0.33,-1.643%,"1,812,195,074",/market-activity/stocks/imnm
SION,"Sionna Therapeutics, Inc. Common Stock",$40.29,-0.59,-1.443%,"1,798,093,869",/market-activity/stocks/sion
SNDX,"Syndax Pharmaceuticals, Inc. Common Stock",$20.32,0.58,2.938%,"1,766,109,508",/market-activity/stocks/sndx
STOK,"Stoke Therapeutics, Inc. Common Stock",$30.87,-0.18,-0.58%,"1,763,206,421",/market-activity/stocks/stok
MNKD,MannKind Corporation Common Stock,$5.68,-0.03,-0.525%,"1,744,159,196",/market-activity/stocks/mnkd
CDRE,"Cadre Holdings, Inc. Common Stock",$42.85,-0.95,-2.169%,"1,742,445,715",/market-activity/stocks/cdre
TRVI,"Trevi Therapeutics, Inc. Common Stock",$13.47,UNCH,--,"1,727,259,905",/market-activity/stocks/trvi
HROW,"Harrow, Inc. Common Stock",$45.75,-1.02,-2.181%,"1,694,463,475",/market-activity/stocks/hrow
UFPT,"UFP Technologies, Inc. Common Stock",$217.14,0.91,0.421%,"1,674,680,090",/market-activity/stocks/ufpt
AGIO,"Agios Pharmaceuticals, Inc. Common Stock",$27.73,0.31,1.131%,"1,617,042,007",/market-activity/stocks/agio
BCRX,"BioCryst Pharmaceuticals, Inc. Common Stock",$7.59,-0.24,-3.065%,"1,598,023,070",/market-activity/stocks/bcrx
TRUP,"Trupanion, Inc. Common Stock",$36.93,-0.10,-0.27%,"1,595,308,197",/market-activity/stocks/trup
PAHC,Phibro Animal Health Corporation Class A Common Stock,$39.16,-1.61,-3.949%,"1,587,296,089",/market-activity/stocks/pahc
AMLX,"Amylyx Pharmaceuticals, Inc. Common Stock",$14.20,-0.29,-2.001%,"1,559,437,880",/market-activity/stocks/amlx
INVA,"Innoviva, Inc. Common Stock",$20.74,-0.06,-0.288%,"1,550,710,346",/market-activity/stocks/inva
ENOV,Enovis Corporation Common Stock,$27.02,-0.94,-3.362%,"1,545,257,075",/market-activity/stocks/enov
